iter	Passed	Remaining
0	0	81
1	1	74
2	2	70
3	2	64
4	3	63
5	3	62
6	4	61
7	5	61
8	5	60
9	6	59
10	7	58
11	7	57
12	8	57
13	9	56
14	9	55
15	10	55
16	11	54
17	11	54
18	12	53
19	13	52
20	13	51
21	14	51
22	15	50
23	15	49
24	16	49
25	17	48
26	17	47
27	18	46
28	18	46
29	19	45
30	20	45
31	21	44
32	21	43
33	22	43
34	22	42
35	23	41
36	24	41
37	24	40
38	26	41
39	27	40
40	28	40
41	28	39
42	29	38
43	30	38
44	30	37
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	35	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	30
56	40	30
57	40	29
58	41	28
59	42	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	51	21
71	52	20
72	53	19
73	53	18
74	54	18
75	55	17
76	56	16
77	56	16
78	57	15
79	58	14
80	59	13
81	59	13
82	60	12
83	61	11
84	62	11
85	63	10
86	63	9
87	64	8
88	65	8
89	66	7
90	67	6
91	67	5
92	68	5
93	69	4
94	70	3
95	71	2
96	72	2
97	72	1
98	73	0
99	74	0
