iter	Passed	Remaining
0	145	145271
1	146	73221
2	148	49288
3	149	37230
4	151	30197
5	154	25540
6	155	22029
7	156	19393
8	157	17333
9	158	15687
10	159	14368
11	161	13322
12	163	12376
13	165	11646
14	167	11015
15	168	10384
16	170	9884
17	171	9380
18	173	8935
19	174	8548
20	175	8198
21	177	7870
22	178	7584
23	180	7354
24	183	7148
25	184	6907
26	185	6696
27	186	6483
28	188	6295
29	189	6117
30	191	5975
31	192	5821
32	193	5676
33	195	5552
34	197	5444
35	198	5320
36	199	5198
37	200	5087
38	202	4978
39	203	4874
40	204	4776
41	205	4681
42	206	4591
43	209	4541
44	211	4486
45	213	4417
46	214	4342
47	215	4268
48	216	4198
49	217	4129
50	218	4062
51	219	4008
52	220	3948
53	222	3897
54	225	3881
55	228	3847
56	230	3811
57	233	3795
58	234	3747
59	236	3699
60	237	3662
61	239	3619
62	240	3575
63	241	3530
64	243	3509
65	245	3477
66	247	3441
67	248	3402
68	249	3367
69	250	3330
70	252	3299
71	254	3280
72	256	3259
73	257	3225
74	258	3193
75	260	3162
76	261	3130
77	262	3101
78	263	3072
79	264	3043
80	265	3013
81	267	2999
82	268	2971
83	270	2954
84	272	2930
85	273	2905
86	274	2880
87	275	2856
88	277	2836
89	278	2813
90	279	2790
91	280	2766
92	281	2749
93	284	2737
94	285	2722
95	287	2702
96	288	2682
97	289	2661
98	290	2640
99	291	2621
100	292	2603
101	293	2584
102	294	2565
103	295	2546
104	297	2534
105	299	2525
106	300	2510
107	302	2494
108	303	2477
109	304	2460
110	305	2443
111	306	2426
112	307	2410
113	308	2394
114	309	2379
115	311	2371
116	312	2359
117	314	2351
118	316	2340
119	317	2325
120	318	2311
121	319	2296
122	320	2282
123	321	2269
124	322	2257
125	323	2246
126	324	2232
127	326	2222
128	328	2219
129	330	2210
130	331	2199
131	332	2187
132	333	2175
133	334	2163
134	335	2152
135	337	2142
136	338	2131
137	339	2119
138	340	2109
139	341	2100
140	344	2097
141	345	2084
142	345	2073
143	347	2064
144	348	2053
145	349	2042
146	350	2032
147	351	2022
148	352	2012
149	353	2003
150	354	1993
151	355	1983
152	356	1976
153	358	1971
154	360	1964
155	361	1956
156	362	1947
157	363	1937
158	364	1929
159	365	1921
160	366	1911
161	367	1902
162	368	1894
163	369	1885
164	371	1879
165	372	1873
166	374	1868
167	375	1861
168	377	1853
169	378	1846
170	379	1838
171	380	1830
172	381	1823
173	382	1814
174	383	1807
175	384	1799
176	385	1793
177	387	1787
178	388	1782
179	390	1778
180	391	1771
181	392	1764
182	393	1758
183	394	1751
184	396	1744
185	397	1737
186	398	1731
187	399	1724
188	400	1718
189	401	1713
190	403	1710
191	405	1705
192	406	1699
193	407	1692
194	408	1687
195	409	1680
196	410	1674
197	411	1668
198	413	1663
199	414	1657
200	415	1650
201	416	1646
202	418	1642
203	419	1638
204	421	1633
205	422	1627
206	423	1621
207	424	1615
208	425	1609
209	426	1604
210	427	1598
211	428	1593
212	429	1588
213	430	1582
214	432	1578
215	434	1575
216	435	1570
217	436	1564
218	437	1560
219	438	1555
220	439	1550
221	440	1544
222	441	1539
223	442	1534
224	443	1528
225	444	1523
226	445	1518
227	447	1514
228	448	1510
229	449	1505
230	450	1500
231	452	1496
232	453	1491
233	454	1486
234	455	1481
235	456	1477
236	457	1472
237	458	1467
238	459	1463
239	460	1458
240	461	1454
241	463	1452
242	464	1447
243	465	1443
244	467	1439
245	468	1435
246	469	1430
247	470	1425
248	471	1421
249	472	1416
250	473	1412
251	474	1407
252	475	1403
253	476	1399
254	477	1396
255	479	1392
256	480	1387
257	481	1383
258	482	1379
259	483	1375
260	484	1371
261	485	1366
262	486	1362
263	487	1358
264	488	1354
265	489	1351
266	491	1349
267	492	1346
268	494	1343
269	495	1339
270	496	1335
271	497	1332
272	499	1329
273	500	1326
274	501	1322
275	502	1318
276	504	1316
277	505	1313
278	507	1310
279	508	1308
280	510	1305
281	511	1302
282	512	1298
283	513	1294
284	514	1291
285	515	1287
286	516	1283
287	518	1280
288	519	1277
289	520	1273
290	521	1270
291	522	1267
292	524	1265
293	525	1261
294	526	1258
295	527	1254
296	528	1251
297	529	1248
298	530	1244
299	532	1241
300	533	1238
301	534	1235
302	535	1232
303	536	1229
304	538	1227
305	540	1226
306	541	1222
307	542	1219
308	544	1216
309	545	1213
310	546	1211
311	547	1207
312	548	1204
